County_name
"Piute, Utah, US"
"Walla Walla County, Washington, US"
"Sanders, Montana, US"
"Kalawao, Hawaii, US"
"Queens, New York, US"
"Kiowa, Colorado, US"
"Soldotna, Alaska, US"
"Rawlins, Kansas, US"
"Garfield County, Washington, US"
"Phillips, Montana, US"
"San Juan, New Mexico, US"
"Out of UT, Utah, US"
"Judith Basin, Montana, US"
"El Paso, Texas, US"
"Loving, Texas, US"
"McKinley, New Mexico, US"
"Blaine, Montana, US"
"Daniels, Montana, US"
"Washington County, Utah, US"
"Norfolk, Virginia, US"
"Mora, New Mexico, US"
"LeSeur, Minnesota, US"
"Out-of-state, Tennessee, US"
"McIntosh,Georgia,US"
"Hawaii,Hawaii,US"
"Morgan, Utah, US"
"King, Texas, US"
"Southwest, Utah, US"
"Aleutians West, Alaska, US"
"Powder River, Montana, US"
"Chouteau, Montana, US"
"Anchorage,Alaska,US"
"Butte, Idaho, US"
",Virgin Islands,US"
"Petroleum, Montana, US"
"Sevier, Utah, US"
"Bronx, New York, US"
"Clark, Idaho, US"
"Logan, North Dakota, US"
"Wayne, Utah, US"
"Foard, Texas, US"
"Harding, South Dakota, US"
"Jones, South Dakota, US"
"Box Elder,Utah,US"
"Roger Mills, Oklahoma, US"
"Unknown, Tennessee, US"
"San Juan,Utah,US"
"Box Butte,Nebraska,US"
"Kent, Texas, US"
"American Samoa, US"
"Modoc, California, US"
"O'Brien,Iowa,US"
"Matanuska-Susitna,Alaska,US"
"Prairie, Montana, US"
"Washington,Utah,US"
"Stonewall, Texas, US"
"Fairbanks North Star,Alaska,US"
"Yakutat, Alaska, US"
"Coconino,Arizona,US"
"Nashua, New Hampshire, US"
"Borden, Texas, US"
"Golden Valley, North Dakota, US"
"Gaston,North Carolina,US"
"Harris,Texas,US"
"LaPorte,Indiana,US"
",Northern Mariana Islands,US"
"Elko County, Nevada, US"
"McCone, Montana, US"
"Adams, North Dakota, US"
"Cibola,New Mexico,US"
"Unassigned,Florida,US"
"Socorro,New Mexico,US"
"Doña Ana, New Mexico, US"
"Beaver, Utah, US"
"Carter, Montana, US"
"Sanpete, Utah, US"
"Weber, Utah, US"
"Unassigned,Virginia,US"
"Apache,Arizona,US"
"Out of OK,Oklahoma,US"
"Belknap,New Hampshire,US"
"Adams,Idaho,US"
"Navajo,Arizona,US"
"Nantucket, Massachusetts, US"
"Brockton, Massachusetts, US"
"Kings, New York, US"
"Staunton,Virginia,US"
"Perkins, South Dakota, US"
"Kenai Peninsula,Alaska,US"
"Doddridge, West Virginia, US"
"Sterling, Alaska, US"
"Sedgwick, Colorado, US"
"Wibaux, Montana, US"
"Richmond, New York, US"
"Greeley, Kansas, US"
"Denali, Alaska, US"
"Dillingham, Alaska, US"
"Buena Vista,Virginia,US"
"Rich, Utah, US"
"Out of HI,Hawaii,US"
"Mineral, Montana, US"
"Sweet Grass, Montana, US"
"Decatur, Kansas, US"
"Wichita, Kansas, US"
"unassigned, Utah, US"
"Adams,Ohio,US"
"Bristol Bay, Alaska, US"
"Garfield, Montana, US"
"Potter, South Dakota, US"
"Unassigned,Georgia,US"
"Lake and Peninsula, Alaska, US"
"Juab, Utah, US"
"Dolores, Colorado, US"
"Alexander,North Carolina,US"
"Skagway, Alaska, US"
"Daggett, Utah, US"
"Out of CO,Colorado,US"
"Millard, Utah, US"
"Aleutians East, Alaska, US"
"McKean,Pennsylvania,US"
"Unassigned,Utah,US"
"Wallace, Kansas, US"
"De Witt,Illinois,US"
"Unassigned,Kansas,US"
"Desoto, Florida, US"
"Powell, Montana, US"
"Hoonah-Angoon, Alaska, US"
"Hillsborough,New Hampshire,US"
"Guernsey,Ohio,US"
"McMullen, Texas, US"
"unassigned, Wyoming, US"
"Fallon, Montana, US"
"Dukes, Massachusetts, US"
"Unassigned,Louisiana,US"
"Unassigned, Wuhan Evacuee, US"
"Abbeville, South Carolina, US"
"Adair, Iowa, US"
"Adair, Kentucky, US"
"Adair, Missouri, US"
"Adair, Oklahoma, US"
"Adams, Idaho, US"
"Adams, Illinois, US"
"Adams, Indiana, US"
"Adams, Iowa, US"
"Adams, Ohio, US"
"Adams, Washington, US"
"Adams, Wisconsin, US"
"Addison, Vermont, US"
"Aitkin, Minnesota, US"
"Alamosa, Colorado, US"
"Albany, Wyoming, US"
"Alcona, Michigan, US"
"Alcorn, Mississippi, US"
"Alexander, Illinois, US"
"Alexander, North Carolina, US"
"Alfalfa, Oklahoma, US"
"Alger, Michigan, US"
"Allamakee, Iowa, US"
"Allegany, Maryland, US"
"Allegany, New York, US"
"Alleghany, North Carolina, US"
"Alleghany, Virginia, US"
"Allen, Kansas, US"
"Allen, Kentucky, US"
"Allendale, South Carolina, US"
"Alpena, Michigan, US"
"Alpine, California, US"
"Amador, California, US"
"Amelia, Virginia, US"
"Amherst, Virginia, US"
"Amite, Mississippi, US"
"Anderson, Kansas, US"
"Anderson, Kentucky, US"
"Anderson, Tennessee, US"
"Andrew, Missouri, US"
"Andrews, Texas, US"
"Anson, North Carolina, US"
"Antelope, Nebraska, US"
"Antrim, Michigan, US"
"Appanoose, Iowa, US"
"Appomattox, Virginia, US"
"Aransas, Texas, US"
"Archer, Texas, US"
"Archuleta, Colorado, US"
"Arenac, Michigan, US"
"Arkansas, Arkansas, US"
"Armstrong, Pennsylvania, US"
"Armstrong, Texas, US"
"Aroostook, Maine, US"
"Arthur, Nebraska, US"
"Ashe, North Carolina, US"
"Ashland, Ohio, US"
"Ashland, Wisconsin, US"
"Ashley, Arkansas, US"
"Asotin, Washington, US"
"Atascosa, Texas, US"
"Atchison, Kansas, US"
