errorlist
"Piute, Utah, US"
"Rich, Utah, US"
"Walla Walla County, Washington, US"
"Sanders, Montana, US"
"Kalawao, Hawaii, US"
"Queens, New York, US"
"Kiowa, Colorado, US"
"Soldotna, Alaska, US"
"Rawlins, Kansas, US"
"Phillips, Montana, US"
"Judith Basin, Montana, US"
"Loving, Texas, US"
"Blaine, Montana, US"
"Daniels, Montana, US"
"Mora, New Mexico, US"
"LeSeur, Minnesota, US"
"Out-of-state, Tennessee, US"
"Morgan, Utah, US"
"King, Texas, US"
"Aleutians West, Alaska, US"
"Aleutians East, Alaska, US"
"Powder River, Montana, US"
"Chouteau, Montana, US"
"Butte, Idaho, US"
"Petroleum, Montana, US"
"Sevier, Utah, US"
"Bronx, New York, US"
"Clark, Idaho, US"
"Logan, North Dakota, US"
"Wayne, Utah, US"
"Foard, Texas, US"
"Harding, South Dakota, US"
"Jones, South Dakota, US"
"Roger Mills, Oklahoma, US"
"Kent, Texas, US"
"American Samoa, US"
"Modoc, California, US"
"Prairie, Montana, US"
"Stonewall, Texas, US"
"Yakutat, Alaska, US"
"Nashua, New Hampshire, US"
"Borden, Texas, US"
"Golden Valley, North Dakota, US"
"Elko County, Nevada, US"
"McCone, Montana, US"
"Adams, North Dakota, US"
"Do?a Ana, New Mexico, US"
"Beaver, Utah, US"
"Carter, Montana, US"
"Sanpete, Utah, US"
"Weber, Utah, US"
"Nantucket, Massachusetts, US"
"Brockton, Massachusetts, US"
"Kings, New York, US"
"Perkins, South Dakota, US"
"Doddridge, West Virginia, US"
"Sterling, Alaska, US"
"Sedgwick, Colorado, US"
"Wibaux, Montana, US"
"Richmond, New York, US"
"Greeley, Kansas, US"
"Denali, Alaska, US"
"Dillingham, Alaska, US"
"Mineral, Montana, US"
"Sweet Grass, Montana, US"
"Decatur, Kansas, US"
"Wichita, Kansas, US"
"Bristol Bay, Alaska, US"
"Garfield, Montana, US"
"Potter, South Dakota, US"
"Lake and Peninsula, Alaska, US"
"Juab, Utah, US"
"Dolores, Colorado, US"
"Skagway, Alaska, US"
"Daggett, Utah, US"
"Millard, Utah, US"
"Aleutians East, Alaska, US"
"Wallace, Kansas, US"
"Desoto, Florida, US"
"Powell, Montana, US"
"Hoonah-Angoon, Alaska, US"
"McMullen, Texas, US"
"unassigned, Wyoming, US"
"Fallon, Montana, US"
"Dukes, Massachusetts, US"
"Liberty, Florida, US"
"Walton, Florida, US"
"Anderson, Texas, US"
"Val Verde, Texas, US"
"Lassen, California, US"
"Sutter, California, US"
"Camden, Georgia, US"
"DeKalb, Indiana, US"
"Decatur, Indiana, US"
"Dearborn, Indiana, US"
"Buena Vista, Iowa, US"
"Hopkins, Kentucky, US"
"Muhlenberg, Kentucky, US"
"Evangeline, Louisiana, US"
"Dukes and Nantucket, Massachusetts, US"
"Wayne, Michigan, US"
"Kandiyohi, Minnesota, US"
"Colfax, Nebraska, US"
"Sussex, New Jersey, US"
"Putnam, New York, US"
"Steuben, New York, US"
"Granville, New Carolina, US"
"Bledsoe, Tennessee, US"
"Rhea, Tennessee, US"
"Manassas, Virginia, US"
"Richmond, Virginia, US"
"Unknown, Tennessee, US"
